title,rating
Three Colors: Blue (Trois couleurs: Bleu) (1993),5
Three Colors: Red (Trois couleurs: Rouge) (1994),6
Three Colors: White (Trzy kolory: Bialy) (1994),5
Three Days of the Condor (3 Days of the Condor) (1975),3
Three Kings (1999),5
Three Men and a Baby (1987),1
"Three Musketeers, The (1993)",5
Three from Prostokvashino (1978),1
Threesome (1994),1
Thunderball (1965),1
Tickling Giants (2017),1
Time Bandits (1981),8
"Time Machine, The (1960)",1
"Time Machine, The (2002)",1
"Time to Kill, A (1996)",4
"Timecrimes (Cronocrímenes, Los) (2007)",1
Tin Cup (1996),1
Tinker Tailor Soldier Spy (2011),2
Titan A.E. (2000),1
Titanic (1953),3
Titanic (1997),17
Titus (1999),1
To Catch a Thief (1955),9
To Die For (1995),3
To Kill a Mockingbird (1962),19
To Live (Huozhe) (1994),1
To Sir with Love (1967),2
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3
Tokyo Godfathers (2003),1
Tokyo Tribe (2014),1
Tom Segura: Completely Normal (2014),1
Tom Segura: Mostly Stories (2016),1
Tom and Huck (1995),1
Tom and Jerry: A Nutcracker Tale (2007),1
Tom and Jerry: Shiver Me Whiskers (2006),1
Tombstone (1993),15
Tommy Boy (1995),14
Tomorrow Never Dies (1997),3
Tootsie (1982),2
Top Gun (1986),9
Top Hat (1935),2
Top Secret! (1984),2
"Topo, El (1970)",2
Topsy-Turvy (1999),1
Tora! Tora! Tora! (1970),1
Total Recall (1990),11
Touch of Evil (1958),6
Touching the Void (2003),1
"Towering Inferno, The (1974)",1
"Town, The (2010)",1
Toy Story (1995),47
Toy Story 2 (1999),19
Toy Story 3 (2010),14
Trading Places (1983),5
Traffic (2000),13
Trailer Park Boys (1999),1
Training Day (2001),4
Trainspotting (1996),24
Transformers (2007),4
Transformers: The Movie (1986),1
"Transporter, The (2002)",2
Travels of an Ant (1983),1
Treasure Planet (2002),1
"Treasure of the Sierra Madre, The (1948)",2
"Tree of Life, The (2011)",1
Trees Lounge (1996),1
Tremors (1990),2
"Trial, The (Procès, Le) (1962)",4
Trinity and Sartana Are Coming (1972),1
"Trip to Bountiful, The (1985)",1
"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",1
Tristan & Isolde (2006),1
Triumph of the Will (Triumph des Willens) (1934),1
Troll 2 (1990),2
Tron (1982),1
Tron: Legacy (2010),1
Tropic Thunder (2008),3
"Trouble with Harry, The (1955)",1
Troy (2004),3
True Grit (1969),2
True Grit (2010),2
True Lies (1994),24
True Romance (1993),15
True Stories (1986),1
"Truly, Madly, Deeply (1991)",1
"Truman Show, The (1998)",12
Trust (1990),1
"Truth About Cats & Dogs, The (1996)",3
Tucker & Dale vs Evil (2010),4
"Tuxedo, The (2002)",1
Twelfth Night (1996),1
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),45
Twilight (2008),1
Twin Dragons (Shuang long hui) (1992),1
Twin Peaks: Fire Walk with Me (1992),1
Twister (1996),17
Two Family House (2000),1
Two Weeks Notice (2002),1
Tyler Perry's I Can Do Bad All by Myself (2009),1
U Turn (1997),1
U-571 (2000),1
U.S. Marshals (1998),2
UHF (1989),1
"Ugly Duckling and Me!, The (2006)",1
"Ugly Truth, The (2009)",1
Ulee's Gold (1997),1
Umberto D. (1952),1
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1
"Unbearable Lightness of Being, The (1988)",2
Unbreakable (2000),6
Under Siege (1992),1
Under the Sand (2000),1
Under the Tuscan Sun (2003),1
Underworld (2003),2
Unfaithfully Yours (1948),1
Unforgiven (1992),11
"Unforgiven, The (1960)",1
Unicorn City (2012),1
Universal Soldier (1992),1
Universal Soldier: The Return (1999),1
Unleashed (Danny the Dog) (2005),1
Untitled Spider-Man Reboot (2017),3
"Untouchables, The (1987)",11
Up (2009),25
Up Close and Personal (1996),1
Up in the Air (2009),1
Uptown Girls (2003),1
"Usual Suspects, The (1995)",71
V for Vendetta (2006),10
Vacation (2015),1
Vacations in Prostokvashino (1980),1
Vagabond (Sans toit ni loi) (1985),1
"Valet, The (La doublure) (2006)",1
Valmont (1989),1
Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),1
Vanilla Sky (2001),4
Vanya on 42nd Street (1994),2
Varsity Blues (1999),1
"Verdict, The (1982)",3
Vertigo (1958),17
Very Bad Things (1998),2
"Very Brady Sequel, A (1996)",1
"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",1
"Very Potter Sequel, A (2010)",1
Vicky Cristina Barcelona (2008),1
Victor/Victoria (1982),1
Victoria (2015),1
Victory (a.k.a. Escape to Victory) (1981),1
"View to a Kill, A (1985)",1
Village of the Damned (1995),1
"Village, The (2004)",1
Villain (1971),1
"Virgin Suicides, The (1999)",3
Virtuosity (1995),1
Visitor Q (Bizita Q) (2001),1
"Visitors, The (Visiteurs, Les) (1993)",1
Voices from the List (2004),2
Volunteers (1985),1
Vovka in the Kingdom of Far Far Away (1965),1
WALL·E (2008),27
"Wackness, The (2008)",1
Wag the Dog (1997),3
Waiting for Guffman (1996),5
Waiting... (2005),2
Waking Life (2001),2
Waking Ned Devine (a.k.a. Waking Ned) (1998),2
"Walk in the Clouds, A (1995)",4
Walk the Line (2005),2
"Walk to Remember, A (2002)",3
Wall Street (1987),1
Wallace & Gromit in The Curse of the Were-Rabbit (2005),7
Wallace & Gromit: A Close Shave (1995),14
Wallace & Gromit: The Best of Aardman Animation (1996),12
Wallace & Gromit: The Wrong Trousers (1993),18
Wallace and Gromit in 'A Matter of Loaf and Death' (2008),1
Wanted (2008),1
War for the Planet of the Apes (2017),1
War of the Worlds (2005),1
WarGames (1983),1
Warrior (2011),2
"Warriors, The (1979)",1
Watching the Detectives (2007),1
Watchmen (2009),8
Watermark (2014),1
Watership Down (1978),1
Waterworld (1995),2
"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang) (1972)",1
Waydowntown (2000),1
Wayne's World (1992),6
Wayne's World 2 (1993),2
We Were Soldiers (2002),1
We're the Millers (2013),3
"Weather Man, The (2005)",1
Wedding Crashers (2005),3
"Wedding Planner, The (2001)",1
"Wedding Singer, The (1998)",2
Weird Science (1985),1
Welcome to the Dollhouse (1995),3
Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008),1
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",2
West Side Story (1961),10
Wet Hot American Summer (2001),1
Whale Rider (2002),3
What About Bob? (1991),2
What Dreams May Come (1998),2
What Ever Happened to Baby Jane? (1962),1
What Happened Was... (1994),1
What Lies Beneath (2000),3
What Love Is (2007),1
What Men Talk About (2010),1
What Planet Are You From? (2000),1
What We Do in the Shadows (2014),2
What's Eating Gilbert Grape (1993),16
When Harry Met Sally... (1989),17
When We Were Kings (1996),3
When Worlds Collide (1951),1
When a Man Loves a Woman (1994),2
When the Cat's Away (Chacun cherche son chat) (1996),1
Where the Buffalo Roam (1980),1
Where the Money Is (2000),1
While You Were Sleeping (1995),12
Whiplash (2013),1
Whiplash (2014),8
White Christmas (1954),1
White Squall (1996),4
Who Framed Roger Rabbit? (1988),11
Who Killed Chea Vichea? (2010),1
Who's Afraid of Virginia Woolf? (1966),2
"Whole Nine Yards, The (2000)",4
"Whole Ten Yards, The (2004)",1
Why Don't You Play In Hell? (Jigoku de naze warui) (2013),1
"Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)",1
"Wild Bunch, The (1969)",3
"Wild Parrots of Telegraph Hill, The (2003)",1
Wild Tales (2014),3
Wild at Heart (1990),1
William Shakespeare's A Midsummer Night's Dream (1999),1
William Shakespeare's Romeo + Juliet (1996),6
Willow (1988),6
Willy Wonka & the Chocolate Factory (1971),27
Willy/Milly (1986),1
"Wind Rises, The (Kaze tachinu) (2013)",1
Windtalkers (2002),1
"Wings of Desire (Himmel über Berlin, Der) (1987)",4
"Wings of the Dove, The (1997)",3
"Wings, Legs and Tails (1986)",1
Winnie Pooh (1969),1
Winnie the Pooh Goes Visiting (1971),1
Winnie the Pooh and the Blustery Day (1968),3
Winnie the Pooh and the Day of Concern (1972),1
Winter in Prostokvashino (1984),1
"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",1
Withnail & I (1987),1
Witness (1985),5
Witness for the Prosecution (1957),2
"Wizard of Oz, The (1939)",26
Wolf (1994),2
Wolf Children (Okami kodomo no ame to yuki) (2012),1
"Wolf Man, The (1941)",1
"Wolf of Wall Street, The (2013)",14
"Wolverine, The (2013)",1
"Woman Is a Woman, A (femme est une femme, Une) (1961)",1
"Woman Under the Influence, A (1974)",1
Woman in the Dunes (Suna no onna) (1964),3
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),1
Won't You Be My Neighbor? (2018),1
Wonder (2017),1
Wonder Boys (2000),2
Wonder Woman (2009),1
Working Girl (1988),1
"World Is Not Enough, The (1999)",6
"World of Apu, The (Apur Sansar) (1959)",1
World of Glory (1991),1
World of Tomorrow (2015),1
"World's End, The (2013)",2
Wow! A Talking Fish! (1983),1
Wreck-It Ralph (2012),2
"Wrestler, The (2008)",3
Wristcutters: A Love Story (2006),1
Written on the Wind (1956),1
Wyatt Earp (1994),2
"X-Files: Fight the Future, The (1998)",4
X-Men (2000),17
X-Men: Apocalypse (2016),1
X-Men: Days of Future Past (2014),5
X-Men: First Class (2011),5
X-Men: The Last Stand (2006),3
X2: X-Men United (2003),10
"Yards, The (2000)",1
"Year of Living Dangerously, The (1982)",1
Yes Man (2008),3
Yi Yi (2000),3
Yojimbo (1961),6
You Can Count on Me (2000),4
You Can't Take It with You (1938),1
You Don't Mess with the Zohan (2008),1
You Only Live Twice (1967),1
You've Got Mail (1998),2
Young Frankenstein (1974),18
Young Guns (1988),1
Young Guns II (1990),2
Your Highness (2011),2
Zack and Miri Make a Porno (2008),1
"Zed & Two Noughts, A (1985)",1
Zeitgeist: Moving Forward (2011),1
Zero Dark Thirty (2012),3
Zero Effect (1998),3
Zodiac (2007),3
Zombieland (2009),9
Zoolander (2001),6
Zootopia (2016),4
Zulu (1964),2
[REC] (2007),3
eXistenZ (1999),3
¡Three Amigos! (1986),2
